"bgimg href","cntnt-grp","model","kms","fueltype"
"https://www.bigboytoyz.com/used-luxury-cars/mercedes-benz-v220d-with-maybach-kit-detail-page","2019 MERCEDES BENZ V220D with Maybach Kit","- 2019","- 46250","- Diesel"
"https://www.bigboytoyz.com/used-luxury-cars/bmw-x4-xdrive30d-m-sport-x-silver-shadow-edition-detail-page","2022 BMW X4 XDRIVE30d M SPORT X SILVER SHADOW EDITION","- 2022","- 32500","- Diesel"
"https://www.bigboytoyz.com/used-luxury-cars/mercedes-benz-a200-limousine-1-detail-page","2024 Mercedes Benz A200 Limousine","- 2025","- 3100","- Petrol"
"https://www.bigboytoyz.com/used-luxury-cars/bmw-740i-m-sport-5-detail-page","2024 BMW 740I M SPORT","- 2024","- 20800","- Petrol"
"https://www.bigboytoyz.com/used-luxury-cars/volvo-xc90-d5-inscription--detail-page","2019 VOLVO XC90 D5 Inscription","- 2019","- 74200","- Diesel"
"https://www.bigboytoyz.com/used-luxury-cars/land-rover-defender-110-p300-hse-4-detail-page","2024 Land Rover Defender 110 P300 HSE","- 2025","- 9700","- Petrol"
"https://www.bigboytoyz.com/used-luxury-cars/mercedes-benz-v220d-with-maybach-kit-detail-page","2019 MERCEDES BENZ V220D with Maybach Kit","- 2019","- 46250","- Diesel"
"https://www.bigboytoyz.com/used-luxury-cars/bmw-x4-xdrive30d-m-sport-x-silver-shadow-edition-detail-page","2022 BMW X4 XDRIVE30d M SPORT X SILVER SHADOW EDITION","- 2022","- 32500","- Diesel"
"https://www.bigboytoyz.com/used-luxury-cars/mercedes-benz-a200-limousine-1-detail-page","2024 Mercedes Benz A200 Limousine","- 2025","- 3100","- Petrol"
"https://www.bigboytoyz.com/used-luxury-cars/bmw-740i-m-sport-5-detail-page","2024 BMW 740I M SPORT","- 2024","- 20800","- Petrol"
"https://www.bigboytoyz.com/used-luxury-cars/volvo-xc90-d5-inscription--detail-page","2019 VOLVO XC90 D5 Inscription","- 2019","- 74200","- Diesel"
"https://www.bigboytoyz.com/used-luxury-cars/land-rover-defender-110-p300-hse-4-detail-page","2024 Land Rover Defender 110 P300 HSE","- 2025","- 9700","- Petrol"
"https://www.bigboytoyz.com/used-luxury-cars/mercedes-benz-v220d-with-maybach-kit-detail-page","2019 MERCEDES BENZ V220D with Maybach Kit","- 2019","- 46250","- Diesel"
